facility_id;address;city;medium;meter_id;meter_manufacturer;gateway_id;gateway_product_model;phone;ip;port;gateway_status;meter_status;utc_offset
574;Mossvägen 40;Perstorp;District heating;67970077;ELV;12037297;CMi2110;07190000426104;NULL;NULL;OK;OK;+1
575;Mossvägen 44;Perstorp;District heating;67970080;ELV;12037370;CMi2110;07190000426167;NULL;NULL;OK;OK;+1
576;Mossvägen 46;Perstorp;District heating;67970030;ELV;12036907;CMi2110;07190000426247;NULL;NULL;OK;OK;+1
577;Mossvägen 50;Perstorp;District heating;67970050;ELV;12037354;CMi2110;07190000426160;NULL;NULL;OK;OK;+1
578;Mossvägen 52;Perstorp;District heating;67970054;ELV;12037111;CMi2110;07190000426179;NULL;NULL;OK;OK;+1
579;Klövergatan 26;Perstorp;District heating;67841423;ELV;12036106;CMi2110;07190000417106;NULL;NULL;OK;OK;+1
580;Spelvägen 07;Perstorp;District heating;67841421;ELV;12051928;CMi2110;0037283021610;NULL;NULL;OK;OK;+1
581;Körsbärsvägen 01;Perstorp;District heating;67841403;ELV;12036164;CMi2110;07190000417122;NULL;NULL;OK;OK;+1
582;Kronvägen 03;Perstorp;District heating;6894866;KAM;6021319;CMe2100;07190000494738;NULL;NULL;OK;OK;+1
583;Svetsaregatan 02;Perstorp;District heating;67606180;ELV;12031764;CMi2110;07190000355095;NULL;NULL;OK;OK;+1
584;Brännaregatan 01;Perstorp;District heating;67606194;ELV;12031878;CMi2110;07190000355096;NULL;NULL;OK;OK;+1
585;Elektrodvägen 21;Perstorp;District heating;67606208;ELV;12031919;CMi2110;07190000355102;NULL;NULL;OK;OK;+1
586;Elektrodvägen 10;Perstorp;District heating;67841445;ELV;12036130;CMi2110;07190000417082;NULL;NULL;OK;OK;+1
587;Skarvrörsgatan 05;Perstorp;District heating;68140052;ELV;12041026;CMi2110;07190000502425;NULL;NULL;OK;OK;+1
588;Skarvrörsgatan 07;Perstorp;District heating;68140030;ELV;12041016;CMi2110;07190000502468;NULL;NULL;OK;OK;+1
589;Alvägen  13;Perstorp;District heating;67970070;ELV;12037353;CMi2110;07190000426159;NULL;NULL;OK;OK;+1
590;Skarvrörsgatan 13;Perstorp;District heating;67606201;ELV;12032019;CMi2110;07190000355035;NULL;NULL;OK;OK;+1
591;Skarvrörsgatan 15;Perstorp;District heating;68139996;ELV;12041009;CMi2110;07190000502466;NULL;NULL;OK;OK;+1
592;Skarvrörsgatan 19;Perstorp;District heating;68140006;ELV;12041038;CMi2110;07190000502436;NULL;NULL;OK;OK;+1
593;Skarvrörsgatan 21;Perstorp;District heating;68140034;ELV;12041006;CMi2110;07190000502474;NULL;NULL;OK;OK;+1
594;Björkhaga Rehabiliteringscenter;Perstorp;District heating;68459554;ELV;12047124;CMi2110;0037282164571;NULL;NULL;OK;OK;+1
595;Kolonigatan 13;Perstorp;District heating;68140031;ELV;12040992;CMi2110;07190000502488;NULL;NULL;OK;OK;+1
596;Kolonigatan 15;Perstorp;District heating;68140008;ELV;12041036;CMi2110;07190000502428;NULL;NULL;OK;OK;+1
597;Spjutserödsvägen 35;Perstorp;District heating;67841390;ELV;12036172;CMi2110;07190000417115;NULL;NULL;OK;OK;+1
598;Alvägen 25;Perstorp;District heating;67606306;ELV;12031951;CMi2110;07190000355166;NULL;NULL;OK;OK;+1
599;Parkvägen 27;Perstorp;District heating;67841458;ELV;12036133;CMi2110;07190000417079;NULL;NULL;OK;OK;+1
600;Skarvrörsgatan 09;Perstorp;District heating;68140036;ELV;12041052;CMi2110;07190000502440;NULL;NULL;OK;OK;+1
601;Vinkelgatan 07;Perstorp;District heating;68349248;ELV;12046913;CMi2110;0037282172595;NULL;NULL;OK;OK;+1
602;Vinkelgatan 08;Perstorp;District heating;68349304;ELV;12046926;CMi2110;0037282172604;NULL;NULL;OK;OK;+1
603;Vinkelgatan 09;Perstorp;District heating;67606230;ELV;12032039;CMi2110;07190000355058;NULL;NULL;OK;OK;+1
604;Vinkelgatan 10;Perstorp;District heating;67606203;ELV;12032024;CMi2110;07190000355045;NULL;NULL;OK;OK;+1
605;Vinkelgatan 12;Perstorp;District heating;68349208;ELV;12046892;CMi2110;+37282172768;NULL;NULL;OK;OK;+1
606;Vinkelgatan 14;Perstorp;District heating;68349239;ELV;12046971;CMi2110;0037282172792;NULL;NULL;OK;OK;+1
607;Tonvägen 02;Perstorp;District heating;67841413;ELV;12036107;CMi2110;07190000417105;NULL;NULL;OK;OK;+1
608;Tonvägen 18;Perstorp;District heating;67841427;ELV;12036136;CMi2110;07190000417077;NULL;NULL;OK;OK;+1
609;Tonvägen 20;Perstorp;District heating;68139929;ELV;12041189;CMi2110;07190000502501;NULL;NULL;OK;OK;+1
