42360604;Radhusvägen 27;Älmhult;Heat, Return temp;60557;ELV;12003371;CMi2110;0722022837;NULL;NULL;OK;OK
42365066;Radhusvägen 33;Älmhult;Heat, Return temp;59394;ELV;12000615;CMi2110;0761463638;NULL;NULL;OK;OK
42402444;Radhusvägen 29;Älmhult;Heat, Return temp;59447;ELV;12000769;CMi2110;0761458962;NULL;NULL;OK;OK
42688267;Radhusvägen 31;Älmhult;Heat, Return temp;60800;ELV;12003501;CMi2110;0722457255;NULL;NULL;OK;OK
41934391;Vargstigen 3;Älmhult;Heat, Return temp;59439;ELV;12000805;CMi2110;0761463357;NULL;NULL;OK;OK
42365181;Östergatan 54;Älmhult;Heat, Return temp;59440;ELV;12000699;CMi2110;0761463124;NULL;NULL;OK;OK
42365081;Radhusvägen 37;Älmhult;Heat, Return temp;59442;ELV;12001209;CMi2110;0761461954;NULL;NULL;OK;OK
41999209;Gärdesgatan 3;Älmhult;Heat, Return temp;59371;ELV;12001419;CMi2110;0761463389;NULL;NULL;OK;OK
42402520;Granvägen 6;Älmhult;Heat, Return temp;60482;ELV;12002791;CMi2110;0727265121;NULL;NULL;OK;OK
42016837;Östergatan 20;Älmhult;Heat, Return temp;59451;ELV;12000828;CMi2110;0761463991;NULL;NULL;OK;OK
42415172;Granvägen 8;Älmhult;Heat, Return temp;59416;ELV;12000704;CMi2110;0761459452;NULL;NULL;OK;OK
42541720;Frodegatan 8;Älmhult;Heat, Return temp;59393;ELV;12000792;CMi2110;0761462343;NULL;NULL;OK;OK
42364840;Östergatan 62;Älmhult;Heat, Return temp;59461;ELV;12000738;CMi2110;0761461250;NULL;NULL;OK;OK
42404557;Granvägen 10;Älmhult;Heat, Return temp;59420;ELV;12001182;CMi2110;0761460686;NULL;NULL;OK;OK
42016741;Gärdesgatan 5;Älmhult;Heat, Return temp;59392;ELV;12001004;CMi2110;0761464115;NULL;NULL;OK;OK
42542071;Sölvegatan 8;Älmhult;Heat, Return temp;59400;ELV;12001298;CMi2110;0761457691;NULL;NULL;OK;OK
42671295;Pomonavägen 3;Älmhult;Heat, Return temp;56874;ELV;12000947;CMi2110;0727344574;NULL;NULL;OK;OK
42535817;Frodegatan 7;Älmhult;Heat, Return temp;59395;ELV;12000798;CMi2110;0761463069;NULL;NULL;OK;OK
42572575;Frodegatan 22A;Älmhult;Heat, Return temp;59441;ELV;12000922;CMi2110;0761462450;NULL;NULL;OK;OK
41992789;Källargatan 10;Älmhult;Heat, Return temp;59431;ELV;12000678;CMi2110;0761463710;NULL;NULL;OK;OK
42365702;Radhusvägen 35;Älmhult;Heat, Return temp;59448;ELV;12000936;CMi2110;0761462312;NULL;NULL;OK;OK
42541715;Sölvegatan 16;Älmhult;Heat, Return temp;59437;ELV;12000623;CMi2110;0761462584;NULL;NULL;OK;OK
42402516;Granvägen 2;Älmhult;Heat, Return temp;59372;ELV;12000905;CMi2110;0761462709;NULL;NULL;OK;OK
42019815;Gärdesgatan 12;Älmhult;Heat, Return temp;59414;ELV;12001240;CMi2110;0761459340;NULL;NULL;OK;OK
42361184;Elmiers väg 28;Älmhult;Heat, Return temp;59385;ELV;12001223;CMi2110;0761457768;NULL;NULL;OK;OK
42469432;Ekvägen 2;Älmhult;Heat, Return temp;59375;ELV;12001226;CMi2110;0761462567;NULL;NULL;OK;OK
42541806;Sölvegatan 10;Älmhult;Heat, Return temp;59408;ELV;12001101;CMi2110;0761460546;NULL;NULL;OK;OK
42574081;Frodegatan 6;Älmhult;Heat, Return temp;59368;ELV;12001005;CMi2110;0761465194;NULL;NULL;OK;OK
42402515;Granvägen 14;Älmhult;Heat, Return temp;59370;ELV;12000977;CMi2110;0761458196;NULL;NULL;OK;OK
42541918;Frodegatan 28;Älmhult;Heat, Return temp;59386;ELV;12001355;CMi2110;0761460413;NULL;NULL;OK;OK
42402447;Granvägen 12;Älmhult;Heat, Return temp;59387;ELV;12001144;CMi2110;0761456562;NULL;NULL;OK;OK
42569785;Frodegatan 8A;Älmhult;Heat, Return temp;59390;ELV;12006138;CMi2110;0761459942;NULL;NULL;OK;OK
42408751;Granvägen 4;Älmhult;Heat, Return temp;89922;ELV;12032684;CMi2110;0037282073499;NULL;NULL;OK;OK
42549952;Frodegatan 4;Älmhult;Heat, Return temp;59412;ELV;12000703;CMi2110;0761464123;NULL;NULL;OK;OK
42541972;Frodegatan 23;Älmhult;Heat, Return temp;59418;ELV;12000716;CMi2110;0761463197;NULL;NULL;OK;OK
